메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
알록달록연근튀김,튀기기,반찬,34,66.9,10.2,1.1,2.4,103.4,,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313045226_1584085946623.JPG,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313045226_1584085946849.JPG,"전분 , 시금치 , 튀김가루 , 깐연근 , 비트 , 소금 , 건새우 , 식물성기름, 카레가루 ","1. 연근은 얇게 썰어 찬물에 담가 전분기를 제거한다. 
2. 건새우는 곱게 갈아준다. 
3. 시금치, 비트는 각각 믹서기에 갈아 즙을 준비한다. 
4. 튀김가루에 새우가루와 물을 넣어 반죽을 한다. 
5. 반죽에 시금치, 카레, 비트를 각각 넣어 3가지 색의 반죽을 만든다. 
6. 연근에 전분가루를 묻히고 튀김옷을 입혀 바삭하게 튀겨낸다.              "
잎채소튀김,튀기기,반찬,41,222.6,10.2,2.3,19.2,70.5,,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313054031_1584088831750.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313054047_1584088847182.JPG,"얼음, 배추, 계란, 깻잎, 콩기름, 튀김가루, 상추","1. 볼에 튀김가루, 계란 물을 섞어 반죽을 만든 후 얼음을 넣어 차갑게 한다. 
2. 깻잎, 상추, 배추는 깨끗하게 씻어 준비한다. 
3. 재료를 먹기 좋은 크기로 썬다. 
4. 냄비에 콩기름을 부은 후 적당한 온도가 될 때까지 가열한다. 
5. 야채에 반죽을 입힌다. 
6. 노릇하게 튀긴다.              "
포항초사과샐러드,기타,반찬,31,10.34,1.52,0.77,0.13,15.81,,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129103512_1611884112461.JPG,http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129095326_1611881606107.JPG,"저염간장 , 설탕 , 파프리카, 당근, 사과, 포항초, 레몬즙 , 양파","1. 포항초는 세척하고 3cm 크기로 자른다. 
2. 당근은 얇게 채 썰어주고, 사과는 껍질 채로 채 썰어 설탕물에 담가 둔다. 
3. 양파와 파프리카는 작은 큐브 모양으로 썬다. 
4. 저염간장, 레몬즙, 설탕, 양파, 파프리카를 넣어 오리엔탈 드레싱을 만든다. 
5. 포항초에 당근과 사과를 넣어 섞어준다. 
6. 샐러드에 오리엔탈 드레싱을 곁들여 제공한다.              "
생선 파피요트,기타,일품,189,162,9.5,22.1,4,881.6,,http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310094914_1615337354153.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310094937_1615337377707.JPG,"올리브유, 타임, 소금, 파프리카, 바지락, 손질된 흰살생선, 월계수잎, 후춧가루, 대하, 화이트와인, 방울토마토, 레몬, 양파","1. 양파, 파프리카는 채 썰고, 레몬은 얇게 썰고, 방울토마토는 2등분한다. 
2. 손질된 흰살생선에 밑간한다. 
3. 종이 포일에 채 썬 양파를 깐 뒤 밑간한 생선 → 손질한 파프리카 → 레몬 → 방울토마토 순으로 올린다. 
4. 대하, 바지락, 월계수잎, 타임을 올린 뒤 화이트와인과 올리브유를 뿌린다. 
5. 종이 포일로 감싸고 200℃로 예열한 오븐에 15~25분간 굽는다.               "
시금치 후무스,끓이기,기타,166.6,195.8,27.3,9.4,5.4,34.5,,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr98fz,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr98ge,"라임즙,  인분  대파, 올리브유, 백후춧가루, 시금치, 천일염, 우유, 넛맥가루, 불린 병아리콩","1. 대파는 송송 썰고, 시금치는 깨끗하게 씻어 물기를 제거한다. 
2. 약한 불로 달군 팬에 올리브유를 두른 뒤 불린 병아리콩을 넣고 3분간 볶는다. 
3. 물(5컵)을 부어 중간 불로 삶고, 물이 졸아들면 우유를 넣은 뒤 양이 절반이 될 때까지 졸인다. 
4. 끓는 소금물(물5컵+천일염
0.5Ts)에 시금치를 넣어 5분간 데치고, 찬물에 담가 헹군 뒤 물기를 꼭 짠다. 
5. 믹서에 병아리콩조림, 데친 시금치, 라임즙, 백후춧가루, 넛맥가루를 넣어 곱게 갈아 마무리한다.               "
매생이조랭이떡국,끓이기,국&찌개,,380.8,77.3,11.2,2.1,637.3,조랭이떡,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102002_1416273602643.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102002_1416273602643.jpg,"국멸치, 파, 국간장, 물, 소금 , 다진 마늘, 굴, 매생이, 조랭이떡","1. 냄비에 물 1컵 반과 국멸치를 넣고 끓여 멸치국물 1컵을 낸다. 
2. 매생이는 물로 서너 번 헹궈 고운체에 받쳐 물기를 제거한다. 
3. 굴에 소금을 넣고 으깨지지 않도록 살살 주무른 후 물로 서너 번 헹궈 체에 받친다. 
4. 파는 얇게 어슷썰고, 마늘은 다진다. 
5. 멸치국물에 조랭이떡, 매생이, 굴을 넣고 끓인다. 
6.  파와 다진 마늘을 넣고 한소끔 끓이고, 국간장과 소금으로 간하여 마무리한다.              "
문어핫바,굽기,후식,,191.5,22.3,11,6.7,324.6,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102003_1416273603782.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102003_1416273603782.jpg,"문어, 톳, 허니머스터드소스, 토마토케첩, 당근, 감자, 우리밀가루, 다진 마늘, 현미유, 후춧가루 , 양파","1. 손질한 문어를 데친다. 
2. 양파와 감자를 적당한 크기로 자르고 톳과 당근은 잘게 다진다. 
3. 데친 문어와 양파, 감자를 믹서기에 넣고 간다. 
4. 2와 3에 우리밀가루, 다진 마늘, 후춧가루를 넣고 반죽을 치대 직사각형 모양을 만든다. 
5. 팬에 현미유를 두르고 4의 문어를 넣고 지진 후 꼬치에 끼운다. 
6. 토마토케첩과 허니머스터드소스를 곁들인다.              "
매실장아찌와 과매기구이,굽기,반찬,,230.2,16.7,13.5,12.1,412.7,과메기,,http://www.foodsafetykorea.go.kr/,"다진 생강, 매실장아찌, 통깨 , 마늘  고추장, 과메기, 다진 파, 고춧가루, 물, 간장, 다진 마늘, 매실액, 후춧가루 , 양파","1. 과메기는 꼬리를 잘라낸다. 
2. 다진 생강과 마늘즙을 내어 손질한 과메기 위에 뿌린다. 
3. 고추장, 다진 마늘, 다진 파, 매실액, 고춧가루, 후춧가루, 물을 섞어 양념장을 만든다. 
4. 매실장아찌는 채썬다. 
5. 팬에 과메기를 놓고 고추장양념을 발라가며 살짝 굽는다. 
6. 매실장아찌를 구운 과메기위에 올려 마무리한다.              "
자색고구마호떡,굽기,후식,,229.2,38.4,3.7,6.5,71.9,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102008_1416273608450.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102008_1416273608450.jpg,"자색고구마, 땅콩, 물  황설탕, 호두, 찹쌀가루 , 소금 , 계피가루 , 현미유, 검정깨, 찹쌀","1. 찹쌀을 3~5시간 불린 후 물기를 제거하고 믹서기에 간다. 
2. 고구마는 껍질을 벗기고 작게 썰어 찜통에 넣고 찐 후 으깬다. 
3. 검정깨는 믹서기에 갈고, 호두와 땅콩은 굵게 다지고 황설탕과 찹쌀가루를 함께 섞어 호떡소를 만든다. 
4. 으깬 고구마에 찹쌀가루를 넣고 반죽을 한다. 
5. 4의 반죽을 동그랗게 빚어 3의 호떡소를 넣고 둥글납작하게 만든다. 
6. 팬에 현미유를 두르고 호떡을 눌러가며 앞뒤로 굽는다.              "
김치밥그라탕,굽기,밥,,515.1,69.3,14.5,18.9,679.8,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102011_1416273611901.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102011_1416273611901.jpg,"생 표고버섯 , 피자치즈 , 다진 실파 , 올리브유 , 양파 , 배추김치 , 방울토마토 , 간장 , 밥 ","1. 김치, 양파, 버섯은 다진다. 
2. 방울토마토는 4등분한다. 
3. 팬에 올리브유를 두르고 김치, 양파, 버섯, 토마토를 볶는다. 
4. 밥을 넣어 볶은 뒤 간장으로 간한다. 
5. 3, 4를 그릇에 담고 피자치즈를 올려 전자렌지에 치즈가 녹을 정도로 익힌다. 
6. 실파를 뿌려 마무리한다.              "
누룽지굴죽,끓이기,밥,,239.3,47.9,8.4,2.9,337.6,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102012_1416273612744.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102012_1416273612744.jpg,"부추 , 다시마국물, 간장 , 참기름 , 파래김 , 누룽지 , 굴 ","1. 굴은 소금물에 흔들어 씻어 굵게 다진다. 
2. 부추는 씻어 송송 썬다. 
3. 누룽지에 다시마국물을 넣고 2분간 불린 뒤 끓인다. 
4. 누룽지가 거의 퍼졌을 때 굴을 넣고 살짝 끓인다. 
5. 죽이 퍼지면 부추를 넣고 잠시 끓인다. 
6. 그릇에 담고 구운 파래김을 부스러뜨려 얹어낸다.              "
콩비지완자탕,끓이기,국&찌개,,154.6,16.5,9.7,5,699,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102014_1416273614929.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102014_1416273614929.jpg,"멸치다시마국물, 완자, 다진 돼지고기 , 콩비지 , 새우젓 , 계란 , 국간장 , 깍두기 , 다진 파 , 청경채 , 다진 마늘 , 후추 , 감자전분 , 다진 마늘  국물, 어슷 썬 대파 ","1. 콩비지를 체에 받혀 물기를 제거한다. 
2. 깍두기와 새우젓을 잘게 다진다. 
3. 1에 다진 돼지고기, 깍두기, 새우젓, 계란, 전분, 후추, 파, 마늘을 넣고 치댄다. 
4. 치댄 반죽을 한입 크기로 동그랗게 완자를 빚는다. 
5. 냄비에 멸치다시마 국물을 넣고 끓으면 완자를 넣어 거품을 걷어가며 끓인다. 
6. 완자가 익어서 떠오르면 청경채, 대파, 마늘을 넣고 살짝 끓여 국간장으로 간하여 불에서 내린다.              "
돼지갈비구이와 백김치와인조림,굽기,반찬,,252,13.1,13.8,13.7,446.7,등갈비,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102015_1416273615804.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102015_1416273615804.jpg,"돼지등갈비 , 물 , 대파 , 생강 , 꿀 , 소금  김치조림, 백김치 , 된장 , 후추 , 주재료, 적포도주 , 맛술 , 올리브유 ","1. 냄비에 물을 넣고 된장을 풀어 대파, 생강을 넣고 끓인다. 
2. 물이 끓으면 돼지갈비를 넣고 5분간 삶는다. 
3. 백김치는 5cm 길이로 자른다. 
4. 적포도주를 냄비에 넣고 불에 올려 알코올을 날려준 뒤 김치, 맛술, 꿀을 넣고 맛이 배도록 졸인다. 
5. 삶아 낸 등갈비에 소금을 뿌리고 올리브유를 발라 팬에 구워낸다. 
6. 구운 갈비에 백김치 와인조림을 곁들여 낸다.              "
오징어오곡밥순대,찌기,반찬,,105,12.5,7.8,2.6,617.2,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102016_1416273616990.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102016_1416273616990.jpg,"오징어 , 오곡밥 , 간장 , 참기름  소스, 간장 , 참기름 , 후추 , 설탕 , 된장 , 다진 마늘 , 데친 취나물 , 다진 마늘 , 주재료, 청양고추 , 데쳐서 다진 취나물 ","1. 오징어는 다리를 떼 내서 내장과 눈을 제거하고, 데친 취나물은 물기를 짜내고 다진다. 
2. 오곡밥에 다진 취나물, 간장, 마늘, 후추, 참기름을 넣어 고루 섞는다. 
3. 오징어 몸통에 양념한 밥을 넣어 이쑤시개로 끝을 고정시킨다. 
4. 김이 오른 찜통에 오징어를 넣고 3분간 쪄낸다. 
5. 소스 재료를 섞어 취나물된장소스를 만든다. 
6. 쪄낸 오징어순대를 썰어 접시에 담고 소스를 곁들여 낸다.              "
코다리 양념구이,굽기,반찬,,133,10,12.1,5.1,258.1,,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102018_1416273618224.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102018_1416273618224.jpg,"고운 고추가루 , 다진 홍고추 , 다진 실파  양념장, 간장 , 다진 마늘 , 맛술 , 간 양파 , 주재료, 코다리 , 콩기름 , 설탕 , 누룽지가루 ","1. 코다리는 배를 갈라 길이로 2등분하여 뼈를 제거한다. 
2. 손질한 코다리를 반으로 잘라 안쪽에 누룽지 가루를 묻힌다. 
3. 분량의 재료를 섞어 양념장을 만든다. 
4. 팬에 기름을 두르고 코다리를 굽는다. 
5. 코다리에 양념장을 발라 다시 한번 살짝 굽는다. 
6. 다진 홍고추와 실파를 뿌려 마무리한다.              "
대구버섯구이,굽기,반찬,,197.9,14.9,13.3,9.5,237.6,대구살,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102019_1416273619379.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102019_1416273619379.jpg,"소금 , 새송이버섯 , 흰후추 , 찹쌀가루 , 레몬즙 , 후추 , 주재료, 올리브유 , 마요네즈 , 베이비채소  소스, 대구살 , 마늘 , 와사비 갠 것","1. 대구살에 소금, 흰후추를 뿌려 밑간 한 뒤 찹쌀가루를 가볍게 묻힌다. (a) 
2. 버섯과 마늘을 얇게 썬다. (b) 
3. 팬에 기름을 두르고 마늘을 볶아 향을 낸 뒤 마늘은 따로 건져두고 버섯을 굽는다. (c) 
4. 팬에 기름을 두르고 1을 앞뒤로 노릇하게 굽는다. (d) 
5. 분량의 재료를 섞어 소스를 만든다. 
6. 접시에 대구, 버섯, 마늘을 켜켜이 담아 소스를 뿌리고 베이비채소를 곁들여 낸다.              "
잔멸치땅콩볶음,볶기,반찬,,145.6,7.8,7.4,9.8,352.7,잔멸치,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102020_1416273620679.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102020_1416273620679.jpg,"땅콩 , 잔멸치 , 굴소스 , 올리브유 , 통깨 , 맛술 , 다진 마늘 , 두반장 , 물엿 , 건홍고추 , 참기름 , 콩기름 ","1. 멸치를 마른팬에 넣고 볶는다. 
2. 살짝 볶아낸 멸치에 올리브유와 맛술을 넣고 부드러워질 때까지 볶는다. 
3. 땅콩을 찬물에 20분 담갔다 체에 건져 물기를 뺀다. 
4. 건고추는 송송 썬다. 
5. 팬에 올리브유, 참기름, 콩기름을 섞어 두르고 다진 마늘을 넣어 향을 낸 후 땅콩과 고추를 넣어 볶는다. 
6. 볶은 멸치와 굴소스, 두반장, 물엿을 넣고 고루 섞은 다음 통깨를 뿌려낸다.              "
밥 샌드위치,기타,일품,,322,50.6,14.9,8.1,476,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053753_1416213473486.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053753_1416213473486.jpg,"검은깨, 맛살, 밥, 치즈슬라이스, 오이, 소금 적당량, 마요네즈","1. 맛살을 잘게 다져 마요네즈와 소금을 넣고 버무린다. 
2. 오이는 다져서 소금을 뿌려 놓았다가 면보에 짜서 수분을 제거한 뒤 마요네즈에 버무린다. 
3. 밥에 소금을 넣어 버무린다. 
4. 네모난 플라스틱 통에 랩을 깐다. 
5. 4에 밥, 치즈, 밥, 오이나 맛살, 밥 순서로 얹어 꼭꼭 누른다. 
6. 랩을 통째로 꺼내 칼로 조심스럽게 썰어 검은깨로 장식한다.              "
버섯을 넣은 가지 라자냐,굽기,일품,,136,14.8,8.1,5.1,243,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053754_1416213474657.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053754_1416213474657.jpg,"파마산치즈, 바질, 표고버섯, 새송이버섯, 토마토소스, 느타리벗서, 가지, 돼지고기다진것, 우유, 모짜렐라 치즈, 빵가루, 밀가루, 오레가노 , 버터 ","1. 가지에 세로로 칼집을 넣어 소금을 뿌린다. 
2. 표고버섯, 느타리버섯은 채 썰고 새송이버섯은 세로로 자른다. 
3. 돼지고기를 곱게 다진 뒤 볶는다. 
4. 팬에 버터를 넣어 녹으면 밀가루를 넣고 볶아서 루를 만든 뒤 우유를 넣어 화이트소스를 만든다. 
5. 오븐용기에 화이트소스를 깔고 그 위에 가지를 올린 뒤 가지 사이에 버섯, 토마토소스, 화이트소스, 버섯을 넣는다. 
6. 남은 화이트소스와 치즈, 빵가루 순으로 얹고 180℃로 예열된 오븐에서 윗면이 노릇한 색이 나도록 굽는다.              "
생선찜 채소말이,찌기,반찬,,163,1838,15.5,3.4,346,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053756_1416213476798.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053756_1416213476798.jpg,"설탕, 전분, 홍피망, 소금적당량, 물, 간장, 소금 적당량, 레몬즙, 청피망, 흰살 생선, 흰후춧가루 적당량소스 잣, 치즈슬라이스, 건표고버섯, 참기름 적당량, 죽순","1. 흰 살 생선을 얇게 포를 떠서 소금과 흰 후춧가루로 밑간을 한 뒤 생선살의 물기를 제거한다. 
2. 죽순은 5cm 길이로 채 썬 뒤 끓는 물에 데쳐 소금과 참기름으로 무치고 청, 홍피망은 같은 길이로 채썰어 팬에 볶으면서 소금 간 한다. 
3. 건 표고버섯을 불려서 얇게 포를 떠 채 썬 뒤 소금과 참기름으로 무쳐서 볶고 슬라이스 치즈도 같은 길이로 채 썬다. 
4. 1의 생선살을 2장씩 겹쳐 놓고 전분을 위에 뿌려 준비한 속 재료를 올려 돌돌 말아준 뒤 겉면에서 전분을 묻혀 찜통에서 8분간 찐다. 
5. 믹서에 잣과 물, 설탕, 소금, 레몬즙, 간장을 넣고 뽀얗게 즙이 나도록 소스를 만든다. 
6. 완성된 찜에 소스를 곁들여 낸다.              "
쇠고기말이 쌈밥,굽기,밥,,204,27.5,11.3,6,354,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053757_1416213477943.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053757_1416213477943.jpg,"밥, 소금 적당량쇠고기밑간 간장, 전분, 후춧가루 적당량, 깻잎, 당근, 참기름, 청주, 오이피클, 쇠고기살코기, 식용유 적당량밥밑간깨소금, 양파","1. 소고기는 살코기로 손바닥 크기로 얇게 저며 양념에 재운다. 
2. 당근과 양파는 채 썰어 팬에 볶으면서 소금으로 간한다. 
3. 오이피클은 물기를 제거하여 채 썰고 깻잎은 깨끗이 씻어 물기를 뺀다. 
4. 밥을 고슬고슬하게 지어 밑간을 하고 준비한 당근과 양파, 오이피클을 넣고 잘 섞어 한 입 크기로 뭉쳐 놓는다. 
5. 밑간한 소고기를 넓게 펴고 전분을 뿌린 뒤 깻잎을 깔고 준비한 밥을 올려 싼다. 
6. 팬에 식용유를 두르고 말아놓은 쌈밥을 굴려가며 소고기가 익을 때 까지 익힌다.              "
스테이크 샐러드,굽기,반찬,,177,3.5,17,10.1,404,등심,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053759_1416213479021.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053759_1416213479021.jpg,"쇠고기등심, 레드어니언, 로메인, 통후추 적당량, 워터크레스, 소금적당량, 발사믹식초, 방울토마토, 올리브오일, 래디쉬","1. 소고기등심에 소금, 후추로 간하고 팬에서 기호에 따라 굽는다. (스테이크 굽기 정도는 기호에 따라 조절한다.) 
2. 양파는 얇게 링으로 썰고 로메인은 적당한 크기로 찢고 래디쉬도 얇게 썰어 찬 물에 담궈둔다. 
3. 발사믹 식초에 올리브오일, 소금, 후추를 넣고 소스를 만든다. (기호에 따라 양파 다진 것 등을 첨가할 수 있다.) 
4. 2를 건져내 물기를 제거하고 소금, 후추로 간을 한다. 
5. 스테이크를 슬라이스 하여 접시에 앞 쪽에 담는다. 
6. 준비된 야채에 드래싱을 넣고 섞은 뒤 스테이크 옆에 담는다.              "
씨앗죽,끓이기,밥,,198,27.3,5.4,7.9,20,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053801_1416213481209.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053801_1416213481209.jpg,"땅콩, 참깨, 물, 소금 적당량, 호박씨, 쌀, 통아몬드","1. 쌀을 깨끗이 씻어 5시간 정도 불린다. 
2. 불린 쌀을 절구에 넣어 쌀알이 반 정도 부서지도록 간다. 
3. 참깨, 아몬드, 땅콩, 호박씨를 믹서기에 간다. 
4. 냄비에 쌀과 물을 넣고 끓인다. 
5. 쌀알이 익으면 3의 씨앗가루를 넣고 끓인다. 
6. 소금간을 하고 준비한 그릇에 담아낸다.              "
오븐에 구운 또띠아 칩과 아보카도 딥,굽기,후식,,139,24.1,2.6,3.9,40,또띠아,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053802_1416213482302.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053802_1416213482302.jpg,"아보카도, 또띠아, 라임주스, 할라피뇨다진것, 소금 적당량, 양파다진것, 마늘다진것, 토마토","1. 또띠아는 6등분 한다. 
2. 양파, 할라피뇨, 마늘을 잘게 다진다. 
3. 아보카도는 껍질을 제거하고 토마토는 씨를 제거하여 각각 1cm 주사위모양으로 자른다. 
4. 170℃로 예열한 오븐에 또띠아를 넣어 바삭하게 굽는다. 
5. 볼에 2를 넣고 잘 섞어 페이스트를 만들다가 아보카도를 함께 넣고 으깬 후 토마토를 넣고 라임주스, 소금으로 맛을 낸다. 
6. 구워 낸 또띠아 칩을 찍어 먹을 수 있도록 아보카도딥을 작은 그릇에 담아낸다.              "
참치 쇠고기 양상추 쌈,굽기,반찬,,181,24.9,9.2,5.2,313,캔참치,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053804_1416213484318.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053804_1416213484318.jpg,"달걀흰자, 캔참치 밑간 후추약간, 전분 참치양념 마요네즈, 설탕, 밥, 후춧가루 적당량, 소금적당량, 간장, 쇠고기, 양파다진것, 샐러리다진것, 설탕 적당량, 상추","1. 소고기는 소금, 후추로 밑간을 하고 실파는 송송 썬다. 
2. 참치는 기름을 제거하고 양파, 셀러리, 마요네즈, 소금, 후추, 설탕을 넣고 양념한다. 
3. 상추는 작게 다듬어 얼음물에 담근다. 
4. 팬에 기름을 두르고 다진 마늘을 넣고 볶다가 밑간한 소고기를 넣고 볶는다. 
5. 4에 기호에 맞게 참기름과 실파를 넣는다. 
6. 물기를 제거한 상추에 밥 한 숟가락을 놓고 볶은 소고기, 참치, 마요네즈, 소스 순으로 얹는다.              "
치킨 쇠고기 땅콩소스 꼬치,굽기,반찬,,148,8.3,14.4,6.2,536,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053805_1416213485286.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053805_1416213485286.jpg,"설탕 , 생강다진것, 참기름 , 간장, 쇠고기 등심, 카레가루, 올리브오일, 닭가슴살, 땅콩버터","1. 닭가슴살과 소고기안심을 먹기 좋은 크기로 자른다. 
2. 간장, 카레가루, 땅콩버서, 참기름, 올리브오일, 설탕, 다진 생강을 섞어 소스를 만든다. 
3. 꼬치에 1을 번갈아 끼운다. 
4. 고기를 끼운 꼬치에 2의 소스를 바른다. 
5. 오븐을 176℃로 예열한다. 
6. 예열된 오븐에 소스를 바른 꼬치를 구워준다.              "
커리향이 들어간 치킨샐러드 샌드위치,굽기,일품,,194,23.3,8.8,7.4,77,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053806_1416213486379.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053806_1416213486379.jpg,"바질약간, 카레가루 , 식빵, 소금적당량, 레몬주스, 건포도, 아몬드, 후추적당량, 마요네즈, 올리브오일 , 닭가슴살","1. 닭가슴살에 소금, 후추로 간을 한다. 
2. 팬에 기름을 두르고 닭가슴살을 굽는다. 
3. 구워 낸 닭가슴살을 다져서 볼에 담는다. 
4. 올리브오일, 카레가루, 레몬주스, 건포도, 아몬드, 마요네즈를 3에 넣고 섞는다. 
5. 식빵을 팬에 바삭하게 굽는다. 
6. 식빵에 치킨 샐러드를 얹은 뒤 남은 식빵으로 덮고, 사방을 잘라낸다.              "
클럽 샌드위치,기타,일품,,1,1,1,1,1,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053808_1416213488663.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053808_1416213488663.jpg,"삶은달걀, 베이컨, 식빵, 양상추, 치즈슬라이스, 소금적당량, 후추적당량, 슬라이스햄, 마요네즈, 토마토, 닭가슴살","1. 식빵은 앞뒤로 바삭하게 굽는다. 
2. 양상추는 뜯어서 찬물에 담가 두고 토마토는 얇게 슬라이스 하고 달걀도 삶아 egg slicer로 자른다. 
3. 닭가슴살에 소금, 후추로 간을 한 뒤 팬에서 익히고 햄과 베이컨도 살짝 굽는다. 
4. 식빵 한 면에 마요네즈를 바른 뒤 양상추, 베이컨, 토마토를 얹고 다시 식빵 양면에 마요네즈를 바르고 토마토 위에 얹는다. 
5. 그 위에 양상추, 치즈, 햄, 달걀, 닭고기를 올린 다음 나머지 빵 한 면에 마요네즈를 바른다. 
6. 빵 칼로 샌드위치의 사방의 테두리를 잘라내고 대각선으로 먹기 좋게 썬다.              "
토마토 야채 오븐구이,굽기,반찬,,103,17.4,3.1,2.8,67,,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053809_1416213489835.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053809_1416213489835.jpg,"레드어니언, 고구마, 바질약간, 파마산치즈, 홍피망, 돼지호박, 소금적당량, 당근, 감자, 빵가루, 후추적당량, 오릴브오일, 토마토","1. 양파는 링으로 자르고 나머지 야채는 
0.5cm 주사위모양으로 잘라 볼에 담는다. 
2. 볼에 담긴 야채에 소금을 뿌려 골고루 간이 베이도록 섞는다. 
3. 오븐용기에 야채를 가지런히 깔고 올리브 오일을 뿌리뒤 소금과 후추로 간을 한다. 
4. 그릇에 파마산 치즈와 빵가루를 넣고 잘 섞는다. 
5. 3의 야채 위에 4를 뿌려 덮는다. 
6. 180℃로 예열된 오븐에 굽는다.              "
시금치비트무침,기타,반찬,,38,5.6,2,1.3,152.6,발사믹,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102021_1416273621709.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102021_1416273621709.jpg,"시금치 , 올리고당 , 소금 , 올리브유 , 적양파 , 비트  드레싱, 발사믹식초 , 주재료","1. 포항초는 깨끗이 씻어 잎을 떼어준다. 
2. 적양파는 얇게 슬라이스한다. 
3. 비트는 채 썰어 찬물에 담근다. 
4. 분량의 재료를 섞어 양념장을 만든다 
5. 포항초, 적양파, 비트의 물기를 제거한다. 
6. 물기를 제거한 포항초, 적양파, 비트를 소스에 버무려 낸다.              "
